"Config_File",Stanza,Setting,"Current_Value","Proposed_Value","Stanza_Description","Setting_Description"
server,shclustering,"percent_peers_to_restart",10,,,
server,shclustering,"preferred_captain",TRUE,,,
server,shclustering,"prevent_out_of_sync_captain",TRUE,,,
server,shclustering,"quiet_period",60,,,
server,shclustering,"ra_proxying",TRUE,,,
server,shclustering,"raft_rpc_backoff_time_ms",5000,,,
server,shclustering,"rcv_timeout",120,,,
server,shclustering,"rcv_timeout_raft",10,,,
server,shclustering,"register_replication_address",,,,
server,shclustering,"rep_cxn_timeout",60,,,
server,shclustering,"rep_max_rcv_timeout",600,,,
server,shclustering,"rep_max_send_timeout",600,,,
server,shclustering,"rep_rcv_timeout",60,,,
server,shclustering,"rep_send_timeout",60,,,
server,shclustering,"replication_factor",3,,,
server,shclustering,"restart_timeout",600,,,
server,shclustering,"retry_autosummarize_or_data_model_acceleration_jobs",TRUE,,,
server,shclustering,"rolling_restart",restart,,,
server,shclustering,"rolling_restart_with_captaincy_exchange",TRUE,,,
server,shclustering,s2sHeartbeatTimeout,600,,,
server,shclustering,"scheduling_heuristic","round_robin",,,
server,shclustering,"send_timeout",120,,,
server,shclustering,"send_timeout_raft",10,,,"NEW_SETTING"
server,shclustering,"sid_proxying",TRUE,,,
server,shclustering,"ss_proxying",TRUE,,,
server,shclustering,"target_wait_time",150,,,
server,watchdog,actions,,,,"NEW_SETTING"
server,watchdog,actionsInterval,,,,"NEW_SETTING"
